ENTITY_ID;NAME;REGION;COMMUNES_IN_AREA;MASL_MIN;MASL_MAX;SKI_RUNS_KM;DRAG_LIFTS;CHAIR_LIFTS;CABLE_CARS;LIFTS_TOTAL;OPEN_LIFTS;SNOW_DEPTH_CM;VISITORS_TODAY;CAR_FREE;FUNPARK_AVAILABLE;IMAGE_URL
101;Matterhorn Ski Paradise;Waadt und Wallis;Zermatt, Valtournenche (I), Breuil-Cervinia (I);1601;3900;252.0;11;20;19;50;0;300;0;true;true;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJN2DnHKqP_clffS7UfxMIqZg8NTDIx0QZZGZ2QXpwyylNPYdT
102;Les portes du soleil;Waadt und Wallis;Morgins, Champéry, Les Crosets usw.;1000;2500;426.0;114;78;12;204;0;0;0;true;true;https://static3.bergfex.com/images/downsized/39/b523b5813cdadf39_338defd7cfc4284d.jpg
103;Verbier – Les quatre vallées;Waadt und Wallis;Verbier, Nendaz, Veysonnaz u. a.;821;3330;164.0;50;32;18;100;0;0;0;true;true;https://cdn.thegentlemansjournal.com/wp-content/uploads/2012/02/Verbier-Skiing-Switzerland-900x600-c-center.jpg
104;Val d’Anniviers;Waadt und Wallis;Grimentz, Zinal, Vercorin, St-Luc und Chandolin;1340;3025;230.0;37;3;4;44;0;0;0;true;true;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsWX0eBMYChNZJgC--rlT7UN5wJ75131YEbX2i_kFGzjcr4DPgzg
105;Crans Montana;Waadt und Wallis;Crans, Barzettes, Montana, Aminona;1500;3000;72.0;30;10;7;47;0;0;0;true;true;https://ski.ticketcorner.ch/cmsstatic/crans-montana-aminina-3-gallery.jpg
106;Anzère;Waadt und Wallis;Anzère;1500;2360;58.0;0;13;0;13;0;0;0;true;true;https://static1.bergfex.com/images/downsized/b7/a1ed430efbcaa1b7_c59a694ae3830f1a.jpg
107;Saas-Fee;Waadt und Wallis;Saas-Fee, Saas Almagell, Saas Grund;1470;3600;145.0;21;7;9;37;0;0;0;true;true;https://media.schneemenschen.de/image/db/157502_skifahrer-in-saas-fee.jpeg
108;Aletsch Arena;Waadt und Wallis;Riederalp, Bettmeralp, Fiescheralp;1050;3118;104.0;0;35;0;35;0;0;0;true;true;https://media.schneemenschen.de/image/db/165458_Aletsch_zubringerbahn.jpeg
109;Leysin;Waadt und Wallis;Leysin, Les Mosses, La Lecherette;1253;2200;100.0;19;7;3;29;0;0;0;true;true;https://media.schneemenschen.de/image/db/199765_snowpark_leysin.jpeg
110;Les Diablerets;Waadt und Wallis;Les Diablerets;1200;2971;80.0;27;10;8;45;0;0;0;true;true;https://media.schneemenschen.de/image/db/157434_mont-blanc.jpeg
111;Leukerbad;Waadt und Wallis;Leukerbad;1411;2800;60.0;9;1;3;13;0;0;0;true;true;https://media.schneemenschen.de/image/db/199341_bergstation_torrent.jpeg
112;Grächen/St.Niklaus;Waadt und Wallis;Grächen;1617;2868;40.0;3;5;2;10;0;0;0;true;true;https://media.schneemenschen.de/image/db/113105.jpeg
113;Lötschental;Waadt und Wallis;Wiler (Lötschen);1375;3111;33.0;2;2;1;5;0;0;0;true;true;https://media.schneemenschen.de/image/db/199140_laubernalp_skifahrer.jpeg
114;Gstaad und Umgebung;Berner Oberland;Gstaad;1200;2971;250.0;0;69;0;69;0;0;0;true;true;https://media.schneemenschen.de/image/db/199746_sesselbahn_wasserngrat.jpeg
115;Jungfrauregion;Berner Oberland;Mürren, Wengen, Grindelwald;943;2970;213.0;19;14;6;39;0;0;0;true;true;https://media.schneemenschen.de/image/db/155895_skifahrer-vor-eiger-moench-und-jungfrau.jpeg
